company_name,job_title,location,country,work_type,employment_type,seniority_level,department,job_url,source_site,date_posted,salary,visa_sponsorship,requires_degree,technical_category,relevance_score,keep_or_reject,rejection_reason,short_summary,required_skills,preferred_skills
Figma,Data Engineer,"San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Unknown,Engineering,https://boards.greenhouse.io/figma/jobs/5220003004?gh_jid=5220003004,Greenhouse,2025-11-19T09:05:28-05:00,Unknown,Unknown,Unknown,Data Engineering,73,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;div&gt; &lt;div&gt;&lt;span class=&",,
Figma,Data Scientist,"San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Unknown,Engineering,https://boards.greenhouse.io/figma/jobs/5552580004?gh_jid=5552580004,Greenhouse,2025-11-19T09:05:46-05:00,Unknown,Unknown,Unknown,Data Science / ML,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;div class=&quot;section page-center",,
Figma,"Director, Software Engineering - Product Platform","San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5600388004?gh_jid=5600388004,Greenhouse,2025-11-19T09:05:49-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;Product platform area owns pla",,
Figma,"Manager, Software Engineering - Billing","San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5722244004?gh_jid=5722244004,Greenhouse,2025-12-01T13:41:32-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;Billing is a full stack engine",,
Figma,"Manager, Software Engineering - Collaboration Tools","San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5654898004?gh_jid=5654898004,Greenhouse,2025-11-19T09:05:52-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;As the Engineering Manager for",,
Figma,"Manager, Software Engineering - Creation Engine","San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5696366004?gh_jid=5696366004,Greenhouse,2025-11-19T09:05:55-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;Our Creation Engine teams work",,
Figma,"Manager, Software Engineering - Design Systems Management","San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5787320004?gh_jid=5787320004,Greenhouse,2026-02-02T12:55:49-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;Design systems are one of&lt;e",,
Figma,"Manager, Software Engineering - Developer Tools (London, United Kingdom)","London, England, London, UK",UK,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5574708004?gh_jid=5574708004,Greenhouse,2025-11-19T09:05:48-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;We’re looking for an Engineeri",,
Figma,"Manager, Software Engineering - Expressive AI","New York, NY • United States, Canada",USA,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5678196004?gh_jid=5678196004,Greenhouse,2025-11-19T09:05:53-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;The Expressive AI team is resp",,
Figma,"Manager, Software Engineering - Interaction Design","San Francisco, CA • New York, NY • United States, Canada",USA,On-site,Unknown,Manager,Engineering,https://boards.greenhouse.io/figma/jobs/5778796004?gh_jid=5778796004,Greenhouse,2026-01-22T15:48:32-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Figma is growing our team of passionate creatives and builders on a mission to make design accessible to all. Figma’s platform helps teams bring ideas to life—whether you&#39;re brainstorming, creating a prototype, translating designs into code, or iterating with AI. From idea to product, Figma empowers teams to streamline workflows, move faster, and work together in real time from anywhere in the world. If you&#39;re excited to shape the future of design and collaboration, join us!&lt;/p&gt;&lt;/div&gt;&lt;p&gt;The Interaction Design team is",,
